"","state","year","pop","whtpop","blkpop","child","blkchild","whtchild","adult","blkadult","whtadult","pov","childpov","blkpov","whtpov","blkchildpov","whtchildpov","unemp","whtunemp","blkunemp","emp","whtemp","blkemp","LessHS","wLessHS","bLessHS","kidskincare","wkidskincare","bkidskincare","kids2par","wkids2par","bkids2par","avgrent"
"47",47,2000,5541496,4404745,882816,1391647,291975,1018707,4149849,590841,3386038,736393,253575,214404,473994,95638,139595,138512,92283,39509,2647541,2168399,362217,0.19670834505605,0.191788831724182,0.209829670778531,116753,63993,46407,796963,669917,82298,534.968977403294
"48",48,2000,20285850,10641270,2252552,5840383,734970,2494489,14445467,1517582,8146781,3161068,1238753,518778,826752,220600,217517,539975,199242,95999,9269505,5452877,938845,0.20148086621298,0.0951977221602603,0.172191454595332,553124,140468,118251,3649075,1721993,247499,606.684935588467
"49",49,2000,2192941,1876994,13751,711748,5156,590726,1481193,8595,1286268,194399,66870,3732,130032,1656,40928,50630,38545,803,1036730,911522,4000,0.0897489458957516,0.0606522929562011,0.0923498933252057,39143,27082,328,539862,464565,1803,664.726206585476
"50",50,2000,588678,564244,2946,149985,1330,140957,438693,1616,423287,42862,12242,444,41069,209,11758,12723,11394,0,313370,302730,1145,0.113296194375461,0.113057876801817,0,4561,4509,0,103734,98867,574,644.804347826087
"51",51,2000,6843736,4817228,1307085,1727953,400871,1105354,5115783,906214,3711874,664994,226927,250566,322615,107735,83912,130946,69879,46245,3482392,2553379,586811,0.155142255285648,0.130405828121603,0.230890940401124,135210,56424,63865,1102623,804266,146973,713.087805961037
"53",53,2000,5762040,4548617,175137,1507754,59289,1074713,4254286,115848,3473904,602628,210292,37898,363309,17141,103569,161419,114995,7172,2811340,2293025,77989,0.0977846453493565,0.0717567649254124,0.111676336510568,76240,40620,6737,981924,731528,18750,723.844163586503
"54",54,2000,1763247,1672218,49866,400520,13530,373669,1362727,36336,1298549,308643,92650,13419,286712,4594,84592,53058,48810,3209,722291,688706,18083,0.215539700905941,0.21818675486447,0.119732022045477,31360,27227,2915,247261,236835,2682,426.438029020556
"55",55,2000,5207195,4558213,279678,1346947,106380,1086387,3860248,173298,3471826,445206,157035,90722,276548,49752,68134,122501,88292,19814,2742920,2499473,98973,0.110304917357794,0.0974707561018162,0.196320176585054,44078,21712,11088,926548,821582,23631,579.698907665017
"56",56,2000,479321,423132,4187,126781,1880,107803,352540,2307,315329,55288,17630,800,41421,316,12028,12341,9211,372,240948,216411,1154,0.0967111571166473,0.0804079957191969,0.142514395393474,6923,3144,652,81190,73513,409,509.11690821256
"110",1,2001,4349601,3062953,1122061,1126591,359927,722084,3223010,762134,2340869,737777,270578,352332,347459,150586,106586,156192,87499,59515,1909093,1406315,431251,0.191231079983679,0.178857355601092,0.226909317056908,127442,53089,69139,637290,515537,97811,547.336832061069
"210",2,2001,615531,416845,20678,190955,7942,112353,424576,12736,304492,47584,19930,1366,25945,585,8994,21740,12863,698,303000,222267,9436,0.0785167289007273,0.0449585218702866,0.04948738170347,10260,2767,766,126317,83732,4228,873.064307293915
"43",4,2001,5183424,3249957,154915,1472064,59486,720276,3711360,95429,2529681,742009,304849,28048,260596,13399,68281,166045,75775,6833,2272319,1523833,66918,0.149880348261312,0.0751617868580728,0.0866875072963823,121035,37387,7538,901655,502398,25626,743.322444183314
"52",5,2001,2618888,2055221,404698,688472,136372,493962,1930416,268326,1561259,406195,147702,133892,239141,60066,73919,85392,52050,29324,1178262,953951,152350,0.194307879961324,0.175027211760162,0.269785916753692,66268,33509,27332,438815,359968,41477,569.175616835994
"61",6,2001,33713792,15512275,2097152,9663029,669955,3421846,24050763,1427197,12090429,4399850,1844162,430826,1168983,197782,335242,1121377,420710,108469,15295110,7651786,863928,0.171755492397196,0.0638878136994383,0.113835805381202,948064,229471,106336,6223341,2422946,215656,977.232996928477
"81",8,2001,4314724,3192908,157420,1150130,51460,756776,3164594,105960,2436132,423257,154575,19034,218828,10485,65051,117817,78098,6959,2216750,1700932,79012,0.0958888519767203,0.0518276860239632,0.118301682679434,61513,27441,3969,807597,575417,25238,852.062483660131
"91",9,2001,3317131,2575490,289447,807302,92020,567206,2509829,197427,2008284,251609,88092,46339,119057,21944,30011,92336,58086,15743,1675896,1340814,134319,0.112201489644591,0.0873029499970103,0.155850621398952,48148,26591,11476,569017,452162,32139,847.620896576068
"101",10,2001,771580,559963,143674,197081,45897,127375,574499,97777,432588,77228,27676,26476,39941,10941,11214,17847,11417,4420,383806,285897,68258,0.128888282646329,0.109099294088053,0.166654473626454,14390,5506,6210,125530,98003,12818,730.835854341737
"121",12,2001,16017780,10348099,2369480,3820979,827775,2108721,12196801,1541705,8239378,2067006,703178,623021,870268,292608,206361,487088,250363,127857,7210550,4684784,969082,0.136856319908913,0.0991749675862899,0.223967132943664,351214,141015,121417,2304425,1465780,286741,789.273608866313
"131",13,2001,8158938,5131900,2289131,2258203,757857,1272727,5900735,1531274,3859173,1001019,398338,514560,387055,240238,113643,240156,111680,107166,3889561,2553993,980346,0.170449666251649,0.144328829865192,0.218247777058995,213979,79629,109682,1377594,944457,279008,736.694409349337
"151",15,2001,1188615,273657,17096,302170,5349,53168,886445,11747,220489,124209,43445,1524,24908,619,4857,34740,6394,543,569045,145909,9008,0.118561146220522,0.0497256862903879,0.0205159455616494,47695,3048,0,200523,38783,3950,963.586357947434
"161",16,2001,1289492,1131136,6199,373509,2928,311658,915983,3271,819478,153890,55884,2091,114401,1204,37719,43218,36336,0,599556,534276,2494,0.120000783243804,0.0968935603469998,0.0457983193277311,18894,13642,368,272202,233243,2187,602.754931261207
"171",17,2001,12174337,8203649,1780985,3121393,558380,1841201,9052944,1222605,6362448,1404402,513807,490511,602850,220549,155602,455821,227196,145688,5931395,4231380,685209,0.140694692752356,0.0961276592551674,0.191987143845451,267251,83191,121370,2051588,1432317,137739,759.978105177
"181",18,2001,5934871,5099239,473032,1482176,144472,1214162,4452695,328560,3885077,604428,204913,106674,424481,47292,124860,185494,141518,27856,2961807,2587025,206677,0.144224732302318,0.136122016736499,0.15125983232694,87850,53375,24794,999478,883779,41694,636.010094637224
"191",19,2001,2819039,2601433,58730,719881,23604,638486,2099158,35126,1962947,283443,94751,20748,239796,11991,73288,74707,65851,3916,1450289,1354177,25086,0.0977987999698663,0.090308415545017,0.132079961922894,25224,20063,2569,518168,481544,3255,555.688049209139
"201",20,2001,2612636,2166674,157193,657376,47957,504075,1955260,109236,1662599,306196,92521,38649,214149,15390,55625,62982,43676,6066,1357817,1160529,73476,0.0963705006032376,0.0813978777954837,0.103343126780627,33250,18634,5547,471325,388977,14917,609.135714285714
"211",21,2001,3950704,3531735,272726,994506,85436,858567,2956198,187290,2673168,624563,197273,70347,517269,32977,149972,125184,101175,20274,1773847,1594855,117465,0.211213902818606,0.212463870956576,0.162070297412128,74703,56797,14491,672093,621197,26504,522.572562358277
"221",22,2001,4328743,2710922,1392454,1226569,484515,674222,3102174,907939,2036700,853396,352152,508289,299117,240823,94013,165071,71515,84086,1876160,1257559,519928,0.189831148711784,0.156503401228251,0.25731066772744,140040,42387,93900,671446,486013,142058,583.894532843737
"231",23,2001,1251745,1207814,5034,272552,2496,257405,979193,2538,950409,136973,33211,2601,127696,1786,29098,33566,32366,0,644919,627218,1225,0.118418955349037,0.117893542443983,0.227095093356492,13748,13351,92,188990,179969,2109,607.865724381625
"241",24,2001,5247157,3245958,1408590,1401787,429315,788122,3845370,979275,2457836,435372,158533,206150,164239,92831,40171,146391,58099,70656,2620962,1663743,674086,0.119311689603911,0.0979161744683234,0.156687394440052,129017,42279,69720,914294,618634,167256,826.313008937438
"251",25,2001,6155496,5049911,339295,1407486,100168,1058494,4748010,239127,3991417,531920,166549,58265,313415,20419,74614,165050,121001,16203,3209951,2711356,158399,0.104859351566273,0.084204284316944,0.168520036896587,88456,50591,14812,967598,815143,38453,900.858624961288
"261",26,2001,9740127,7676322,1337278,2450197,410633,1782061,7289930,926645,5894261,1074218,392822,324338,637290,148635,190048,341654,233296,83103,4685567,3813620,557718,0.121606665755801,0.109393046915551,0.184472560526159,187334,80610,82252,1594563,1341845,96556,664.026683431126
"271",27,2001,4836367,4252951,164890,1198675,62269,976065,3637692,102621,3276886,393224,134635,53588,250988,28730,64558,114912,83563,14641,2649015,2402316,69598,0.0871972519367608,0.0750209067642503,0.137003336003731,41878,25996,6489,880227,767446,17610,704.936241610738
"281",28,2001,2765210,1680407,1006065,775987,345471,404182,1989223,660594,1276225,532640,210875,355685,160083,158053,45058,112948,37486,71591,1208845,812811,362354,0.210139990756683,0.157697257616447,0.316729723587235,107845,28663,75769,410060,299007,96618,531.524791359843
"291",29,2001,5471085,4577262,608268,1417097,203396,1121428,4053988,404872,3455834,673512,253532,168236,451291,83794,144988,149206,115665,22324,2640834,2266446,244949,0.13620082032466,0.125211560636604,0.207760493380791,107031,62159,35279,925795,825173,47299,625.039990911157
"301",30,2001,875841,782588,1123,220267,645,184176,655574,478,598412,134731,49141,615,103129,555,33376,25056,18483,0,420678,387287,331,0.0923283926737025,0.0825709923077662,0.245524296675192,11368,6643,0,153901,136366,0,534.433944522802
"311",31,2001,1664625,1446537,64111,438560,24058,356937,1226065,40053,1089600,177869,61309,14912,126341,7330,36875,40503,28135,4877,869467,778206,27131,0.093475365922924,0.0744055422328804,0.123888989660802,21509,13545,2023,317539,276523,8525,598.742891712039
"321",32,2001,2072391,1346687,134780,557559,44197,306236,1514832,90583,1040451,212856,91547,27515,104811,16268,33024,60550,41141,5678,988117,659961,56779,0.127918654472582,0.0722974434817989,0.111045602522365,50098,20483,5906,368189,215152,16704,831.493032015066
"331",33,2001,1223636,1162797,8755,292740,2044,272986,930896,6711,889811,75618,23863,830,70620,55,21438,23056,21527,408,674430,645030,5346,0.0973037876373823,0.0955811962781557,0.112968502551469,13243,12197,0,215336,203151,759,791.886088709677
"341",34,2001,8289599,5464410,1101403,1932281,313589,1149978,6357318,787814,4314432,660259,218878,189472,234673,88232,45739,271942,138564,57525,4139238,2779238,521123,0.122067374614221,0.0878603021785033,0.173105977885434,167072,67037,63731,1353095,928699,115888,912.576053094948
"351",35,2001,1794179,791139,31844,498612,10191,161944,1295567,21653,629195,331466,126719,14109,83105,6527,19287,63973,20893,944,816059,389552,13567,0.166128040652662,0.0656585535367289,0.112973802352674,48555,8055,251,301395,114729,5428,577.408436213992
"361",36,2001,18429783,11333104,2861107,4550311,852030,2487928,13879472,2009077,8845176,2510810,932042,616297,955567,267080,294396,591036,272880,136372,8519139,5555550,1173385,0.140449301847582,0.0953146640568892,0.165856303219156,376737,110105,146243,2796829,1889464,243911,847.528287322921
"371",37,2001,7932350,5562169,1663555,2056859,527466,1300040,5875491,1136089,4262129,1146027,426791,441622,542416,199935,159616,261130,138659,89537,3747965,2739637,683629,0.188014160412327,0.159592541421807,0.240163881805562,195852,79864,97100,1289657,974428,168736,666.10793401414
"381",38,2001,610793,559733,2848,139185,737,119826,471608,2111,439907,76164,21628,626,60679,313,14843,12466,9906,66,326794,307119,1887,0.113961022653071,0.110915469437594,0,3758,2135,0,102554,93050,268,499.134866937303
"391",39,2001,11066289,9318660,1240103,2734624,389728,2154933,8331665,850375,7163727,1276963,464024,314750,856455,139896,275376,342668,259031,59820,5402417,4667661,529251,0.127857488934567,0.120945730281209,0.178354790484551,206573,137459,55630,1740776,1523452,109398,635.001241850357
"401",40,2001,3347660,2472089,219084,871423,72496,567700,2476237,146588,1904389,532782,186656,65499,301204,28077,87506,80032,54165,8880,1538529,1184387,92670,0.141437092542958,0.121969626876096,0.149726126065763,61849,32919,10321,560537,406840,17316,598.368964246222
"411",41,2001,3387279,2823144,49072,849416,17221,653434,2537863,31851,2169710,462622,160825,14308,332786,7747,105265,126620,104154,2692,1626437,1370520,21628,0.112221285850954,0.0887055801670415,0.168014100157094,57749,41753,1946,572001,452524,3856,732.750602732387
"421",42,2001,11856640,9986414,1145932,2795079,354870,2186707,9061561,791062,7799707,1318663,454537,297815,848428,127250,251763,333747,256203,49547,5673311,4919277,465209,0.135134615541682,0.124833096908383,0.187045327786069,194803,109728,57943,1878300,1666657,86859,658.280522430437
"441",44,2001,1020102,834943,45959,244780,17028,177880,775322,28931,657063,126997,47104,14551,71850,7348,19561,31044,23514,1586,498986,424611,20181,0.16137128210605,0.141559719862645,0.203787034974382,15096,8610,2229,152174,124145,5367,661.843783209352
"451",45,2001,3927982,2595893,1163145,1021525,366256,595424,2906457,796889,2000469,541775,208838,287303,221481,131585,67348,123777,55536,60670,1863016,1302279,492001,0.164560437806116,0.133739733914687,0.241064052761856,119891,49704,61487,596493,428214,128589,636.778669724771
"461",46,2001,727968,672264,5638,184196,1715,161458,543772,3923,510806,87899,28440,1711,72667,988,21121,14442,11612,139,384877,364387,2680,0.103925273242944,0.0963544531221354,0.175449101796407,6696,4656,32,137461,126020,799,550.503448275862
"471",47,2001,5596837,4438265,899220,1402305,289295,1028088,4194532,609925,3410177,827471,306044,237808,537691,111080,174168,179476,112659,56706,2668175,2162984,386525,0.190530094915616,0.186736614459369,0.203268359991436,128344,62193,57394,877317,732637,92163,602.908644610459
"481",48,2001,20773439,10746190,2257818,6076071,729905,2593074,14697368,1527913,8153116,3147249,1293009,485856,832169,219025,221010,606093,253986,117132,9631108,5366746,1013235,0.197153569266197,0.0919389981872792,0.168824735426222,599725,158449,118173,3938359,1936445,255040,703.370388740777
"491",49,2001,2229295,1893082,9815,716298,861,591055,1512997,8954,1302027,191910,67007,812,142241,0,45676,67864,51993,826,1059182,908961,5757,0.0811965885388927,0.0574804313965181,0.126190476190476,44698,31411,0,566955,487414,861,703.404432132964
"501",50,2001,592321,570757,2243,133412,618,125729,458909,1625,445028,64522,21024,477,60026,98,19166,13815,12928,173,324082,314663,1090,0.113364712170931,0.110751440379487,0.167088607594937,6751,6189,0,93469,88540,33,676.046485260771
"511",51,2001,6955099,4881599,1347988,1792081,414544,1155648,5163018,933444,3725951,665092,235010,253679,327781,114819,92550,163789,93247,54444,3501021,2524768,614533,0.14480357464817,0.122170973380312,0.218746980722389,132434,54398,57627,1202559,898720,148324,836.669834507619
"531",53,2001,5852281,4606775,176557,1520927,53743,1090690,4331354,122814,3516085,653414,229201,30873,410470,14149,119759,204735,144123,12506,2824216,2295680,75750,0.0901730722903053,0.0674632020671082,0.131358387084315,80656,46559,5060,1058835,783478,22753,812.182385803483
"541",54,2001,1758405,1669790,47986,396746,10650,368526,1361659,37336,1301264,310068,98288,15595,286469,4047,88616,55540,52047,2242,727119,695530,19549,0.221303038164904,0.223695610595352,0.155950224228565,29487,26488,1039,266462,252571,4459,473.728162945554
"551",55,2001,5247393,4574756,288471,1295313,107674,1049319,3952080,180797,3525437,520468,190825,72740,356812,40561,107012,164838,124278,24725,2730625,2439016,121667,0.113922295094272,0.100267474890693,0.174581450339786,56796,33044,15764,887783,784820,23006,652.535038260169
"561",56,2001,480332,426087,3638,122017,1166,103521,358315,2472,322566,56522,17586,1338,41810,465,11133,13105,10599,133,247697,224050,1479,0.0858164403332677,0.0765974645539152,0.123094958968347,6516,4882,168,88427,78200,390,561.865671641791
