"FIPS","3-Yr WhMale InfantDeath, tot <1 yr (2010-12)","3-Yr WhMale InfantDeath, tot <1 yr (2009-11)","3-Yr WhMale InfantDeath, tot <1 yr (2008-10)","3-Yr WhMale InfantDeath, tot <1 yr (2007-09)","3-Yr WhMale InfantDeath, tot <1 yr (2006-08)","3-Yr WhMale InfantDeath, tot <1 yr (2005-07)","3-Yr WhMale InfantDeath, tot <1 yr (2004-06)","3-Yr WhMale InfantDeath, tot <1 yr (2003-05)","3-Yr WhMale InfantDeath, tot <1 yr (2002-04)","3-Yr WhMale InfantDeath, tot <1 yr (2001-03)","3-Yr WhMale InfantDeath, tot <1 yr (2000-02)","3-Yr WhMale InfantDeath, tot <1 yr (1999-01)","3-Yr WhMale InfantDeath, tot <1 yr (1998-00)","3-Yr WhFmle InfantDeath, tot <1 yr (2010-12)","3-Yr WhFmle InfantDeath, tot <1 yr (2009-11)","3-Yr WhFmle InfantDeath, tot <1 yr (2008-10)","3-Yr WhFmle InfantDeath, tot <1 yr (2007-09)","3-Yr WhFmle InfantDeath, tot <1 yr (2006-08)","3-Yr WhFmle InfantDeath, tot <1 yr (2005-07)","3-Yr WhFmle InfantDeath, tot <1 yr (2004-06)","3-Yr WhFmle InfantDeath, tot <1 yr (2003-05)","3-Yr WhFmle InfantDeath, tot <1 yr (2002-04)","3-Yr WhFmle InfantDeath, tot <1 yr (2001-03)","3-Yr WhFmle InfantDeath, tot <1 yr (2000-02)","3-Yr WhFmle InfantDeath, tot <1 yr (1999-01)","3-Yr WhFmle InfantDeath, tot <1 yr (1998-00)","3-Yr BlMale InfantDeath, tot <1 yr (2010-12)","3-Yr BlMale InfantDeath, tot <1 yr (2009-11)","3-Yr BlMale InfantDeath, tot <1 yr (2008-10)","3-Yr BlMale InfantDeath, tot <1 yr (2007-09)","3-Yr BlMale InfantDeath, tot <1 yr (2006-08)","3-Yr BlMale InfantDeath, tot <1 yr (2005-07)","3-Yr BlMale InfantDeath, tot <1 yr (2004-06)","3-Yr BlMale InfantDeath, tot <1 yr (2003-05)","3-Yr BlMale InfantDeath, tot <1 yr (2002-04)","3-Yr BlMale InfantDeath, tot <1 yr (2001-03)","3-Yr BlMale InfantDeath, tot <1 yr (2000-02)","3-Yr BlMale InfantDeath, tot <1 yr (1999-01)","3-Yr BlMale InfantDeath, tot <1 yr (1998-00)","3-Yr BlFmle InfantDeath, tot <1 yr (2010-12)","3-Yr BlFmle InfantDeath, tot <1 yr (2009-11)","3-Yr BlFmle InfantDeath, tot <1 yr (2008-10)","3-Yr BlFmle InfantDeath, tot <1 yr (2007-09)","3-Yr BlFmle InfantDeath, tot <1 yr (2006-08)","3-Yr BlFmle InfantDeath, tot <1 yr (2005-07)","3-Yr BlFmle InfantDeath, tot <1 yr (2004-06)","3-Yr BlFmle InfantDeath, tot <1 yr (2003-05)","3-Yr BlFmle InfantDeath, tot <1 yr (2002-04)","3-Yr BlFmle InfantDeath, tot <1 yr (2001-03)","3-Yr BlFmle InfantDeath, tot <1 yr (2000-02)","3-Yr BlFmle InfantDeath, tot <1 yr (1999-01)","3-Yr BlFmle InfantDeath, tot <1 yr (1998-00)"
"13000","219.7","220.3","247.3","262.3","292.3","301.7","313.3","309.7","308","309.3","302.7","278","265","174.3","187.3","192","216.7","221.3","229.3","227.3","231.3","243.7","239","231","211","202.3","248","280","320.3","360.3","369","352.7","340.7","339.3","335.7","337.7","340","346","333","202","234.3","253.3","285.3","290","275","270","256","262.3","250.3","255","247.3","250.3"
"15000","13.7","14.3","16.3","17.3","13.7","15.7","15","17","12.7","13","13.3","13","10.7","","11","","12","11.7","12","10.3","13.7","13.3","11.7","9","9.7","11.7","","","","","","","4.7","4","5","3.7","3","3.7","4","","","","","","","4.3","3","2.7","2.3","3.3","3","3"
"16000","68.3","61.7","70.7","77.7","87.3","82.7","79.7","74.7","74","72","73.3","71","74","39.7","48.3","52.7","63.3","65","66.7","61.3","59.7","56.7","56","58.3","62","62","","","","","","","1.7","1","1","0.7","0.3","0.7","1","","","","","","","0.3","0","0","0.3","0.3","0.7","0.7"
"17000","355.7","374","397.7","408.3","438.3","450.7","477","478","480.3","477.7","491.7","504.3","512.3","291.3","311.3","329","333.3","339.3","333","343.3","356","350","359","365.7","385.3","393","216.7","234","246","251","245.7","258","262.3","266.7","260","269","283.3","318","342.7","161","158.3","170.3","184.7","195.3","204","211.7","233.7","246","246","257","259.3","267.7"
"18000","263.7","276.7","270","272","279.3","291.3","289","296.3","288.7","292.3","283.3","295","288","199","216","203.7","214","212","225","232.3","224.3","224.3","216.3","232.3","228","224","81.3","82","85.3","88.7","90.3","93.7","92.3","91","85.7","79.7","78","82.3","88","61.3","69.7","76","77","82.3","82.7","83","68.7","65.7","61.3","63.7","64.3","68"
"19000","95.7","90.7","90","97.3","103.3","109","101","104.3","102.3","107","112.3","113","118.3","64.7","65.7","81.7","87","91","81.3","80","76.7","76.7","79.3","84.7","87.3","89.7","17.3","15","15.7","13.3","11.7","","10","10.7","9.3","9","9","11","11.7","10.3","","","11","","","6.7","9.3","9.3","9.7","10","10.3","11.7"
"20000","115.7","116.3","125.3","132.7","133","129","123.3","126","124.7","126.3","125.3","132.3","132.3","84.3","90.3","98.7","110","107.3","108","103","100","99.7","97","101","96","101","22.7","22","23.3","28.7","32.3","35.7","33.3","31","27.3","28.3","26.3","25","19.7","19.7","21","21","23","24","23.7","21","16.3","16.3","18.7","19","19.3","15"
"21000","169","171.3","179.7","179.7","187.7","190","191","183.7","181.3","176.7","178.7","189.7","194.3","139.7","136.3","145.7","145.7","146","133.3","131","128.3","135.7","128","130.3","129","143.3","36.7","34.3","33.3","34","40","44","46.7","39.3","38","31","33","28.7","36","25.3","27.7","29.7","32.7","32","29.7","23.7","22.7","25","27.3","28","30","31.7"
"22000","114","121.3","126.7","140.7","138.7","138.3","145.3","139","141.7","134.7","135.7","129.7","125.3","88","90.7","97.7","104.3","102","101.3","109.7","118","116.7","108.7","103","100.7","98.3","165.7","170","171.3","187","198","208.3","208.7","207.3","215","223.3","220.7","211.3","202.7","122","128","140.3","150.7","163.7","162.7","172.3","163.7","170","160","168.7","173","180"
"23000","39.3","39.7","37.3","42","44.7","48.7","48","45","41.3","38.7","35.7","34.7","37.7","35.3","33.7","32.3","34","35","38.7","35.3","32","23.3","27","29.3","32.3","32.3","","","","","","","1.3","1.7","1","1.3","1.3","2","1.3","","","","","","","1.3","0.7","1","1.3","1.7","1.7","1"
