"","state","year","entered","entered.nkin","bent","went","cl","bcl","wcl","pl.pre-adopt","pl.foster.rel","pl.foster.non.rel","pl.grphome","pl.inst","pl.indliv","pl.awol","pl.trialvis","b.pl.pre-adopt","b.pl.foster.rel","b.pl.foster.non.rel","b.pl.grphome","b.pl.inst","b.pl.indliv","b.pl.awol","b.pl.trialvis","w.pl.pre-adopt","w.pl.foster.rel","w.pl.foster.non.rel","w.pl.grphome","w.pl.inst","w.pl.indliv","w.pl.awol","w.pl.trialvis","cg.reunify","cg.other.rel","cg.adopt","cg.long.fc","cg.emanc","cg.guard","cg.noplan","cg.na","b.cg.reunify","b.cg.other.rel","b.cg.adopt","b.cg.long.fc","b.cg.emanc","b.cg.guard","b.cg.noplan","b.cg.na","w.cg.reunify","w.cg.other.rel","w.cg.adopt","w.cg.long.fc","w.cg.emanc","w.cg.guard","w.cg.noplan","w.cg.na","prtsjail == 1"
"56",8,2001,7007,5847,1028,3522,19345,2002,6170,1168,1019,5249,545,2774,215,504,74,258,193,774,95,435,29,74,11,547,463,2715,226,1459,129,225,39,5134,448,1857,744,823,72,86,0,822,91,385,151,127,20,5,0,2564,203,854,375,471,38,56,0,583
"57",10,2001,939,819,548,329,2878,1176,628,126,238,893,153,515,3,0,0,65,130,577,85,311,2,0,0,51,90,242,57,184,0,0,0,652,94,424,31,213,34,114,0,377,63,274,18,118,21,59,0,232,25,126,13,73,9,43,0,5
"58",11,2001,822,753,650,4,4551,3431,13,45,566,1909,668,265,0,66,0,43,550,1768,598,214,0,59,0,0,1,6,4,0,0,0,0,676,74,1205,284,502,104,884,0,607,61,1171,278,484,103,727,0,2,0,5,0,1,0,5,0,28
"59",12,2001,18673,7532,7664,9245,68211,22711,22403,2163,22239,14951,938,3193,306,343,0,896,10620,6626,462,1474,152,159,0,1040,9852,6906,383,1432,127,143,0,25197,3044,9081,1929,1129,512,6486,0,11120,1738,4328,1034,585,263,2537,0,11869,1098,3885,765,435,201,3313,0,1261
"60",13,2001,9065,7079,4677,3896,29495,11624,7933,2373,4035,8686,1165,957,0,226,2586,1310,2412,5059,676,526,0,132,1317,956,1538,3188,447,398,0,84,1129,10800,1930,4928,1387,1291,94,0,0,5630,1320,2894,902,813,65,0,0,4598,562,1834,461,451,27,0,0,774
"61",15,2001,2193,1422,108,781,6697,185,1338,129,1540,2467,100,142,0,78,11,2,39,120,8,11,0,4,1,31,431,769,31,43,0,16,3,1938,91,648,207,7,222,1321,0,89,3,26,8,0,6,50,0,640,9,171,45,2,40,405,0,67
"62",16,2001,1209,1080,17,975,3407,45,1747,147,229,1375,212,155,0,18,62,7,2,31,1,3,0,1,0,107,199,1084,172,121,0,12,52,1587,90,175,141,83,122,0,0,25,0,7,5,2,6,0,0,1287,64,128,108,69,91,0,0,0
"63",17,2001,6350,4131,3496,2228,42902,25937,7875,6015,9853,11941,660,2545,2496,0,3028,4485,7734,8099,450,1712,1933,0,1510,1129,1499,2844,166,622,435,0,1180,6324,1,10823,764,10041,3602,4997,0,3539,1,7869,575,7513,2801,3639,0,2071,0,2234,131,1951,568,920,0,23
"64",18,2001,5399,4820,1838,3238,18532,5145,7333,0,1802,6391,339,1637,83,72,2751,0,1081,2432,107,517,28,46,908,0,667,3649,222,1018,52,19,1677,5181,200,3300,424,928,426,2674,0,1734,87,1627,139,309,161,1088,0,3182,104,1571,274,572,235,1395,0,410
"65",19,2001,5829,5812,640,4137,16743,1250,7734,1044,53,4390,4323,686,221,197,0,188,15,514,440,46,28,19,0,637,31,3093,3140,546,151,136,0,4800,217,1664,802,217,54,3160,0,482,33,259,110,23,3,340,0,3470,154,1082,577,156,47,2248,0,259
"66",20,2001,2834,2309,501,2064,11044,1763,5691,294,1060,3633,423,472,117,207,1872,83,257,816,85,95,23,51,335,177,731,2452,288,338,84,130,1384,4124,10,2045,0,290,260,1231,0,737,1,620,0,50,67,237,0,3004,7,1216,0,223,170,900,0,68
"67",21,2001,4590,3645,813,3539,14999,2283,7707,665,1575,5890,17,2113,101,1,41,194,245,1262,6,539,21,1,14,450,1256,4389,11,1493,77,0,26,4969,603,2523,593,596,71,1054,0,882,178,689,178,131,15,210,0,3883,414,1759,399,451,52,749,0,526
"68",22,2001,3014,2543,1771,1176,11222,5047,3020,23,1096,4144,672,1290,39,140,804,11,678,2570,417,766,25,89,491,12,395,1492,247,505,12,50,307,4979,241,1894,884,204,6,0,0,3016,161,1158,580,127,5,0,0,1864,75,714,290,76,1,0,0,109
"69",23,2001,1047,896,33,533,4988,100,2798,438,167,2144,235,235,194,16,227,15,1,64,3,3,6,0,3,368,101,1449,166,182,158,15,146,1137,98,1190,750,338,7,140,0,33,7,35,12,3,0,3,0,663,54,908,663,268,7,76,0,58
"70",24,2001,3662,2425,2559,981,19290,12036,3197,990,5221,5422,1447,465,166,124,1664,798,4530,3960,1032,254,103,89,1182,171,621,1292,383,191,55,32,418,5350,2419,3267,2210,1553,260,569,0,3920,2158,2649,1715,1053,241,300,0,1260,230,561,457,437,17,235,0,464
"71",25,2001,7174,5706,1101,1442,25378,3278,4147,828,3086,8511,1476,1597,553,551,1224,139,555,1543,269,280,116,113,192,284,730,1713,360,446,155,81,304,8700,0,3726,1924,2323,1069,434,0,1356,0,684,454,472,259,47,0,1867,0,1080,403,555,208,33,0,216
