"stname","year","cl.blk","ent.blk","lifelos.blk","grp.inst.blk","cl.white","ent.white","lifelos.white","grp.inst.white","cl.nat.am","ent.nat.am","lifelos.nat.am","grp.inst.nat.am","state","tot","wht","wht.child","wht.child.pov","wht.lessHS","blk","blk.child","blk.child.pov","blk.lessHS","amind","amind.child","amind.child.pov","amind.lessHS","latino.child.pov","foreign","foreign.child","foreign.child.pov","foreign.lessHS","child","child.pov","adult","w.adult","b.adult","a.adult","wht.unemp","blk.unemp","amind.unemp","wht.emp","blk.emp","amind.emp","blk.singpar","latino.singpar","amind.singpar","wht.singpar","wht.f","blk.f","amind.f","incartot","new.incar","WHITEM","WHITEF","BLACKM","BLACKF","AIANM","AIANF","TOTRACEM","TOTRACEF","statename","inst6014_nom","v.crime.rt","pctblk1930","pctami1930","pctimm1930","pctblk1960","pctami1960","pctimm1960","boarding.n","board"
"NY",2014,11060,2781,1326.45759080728,0,6834,2570,764.191693290735,0,143,59,812.457364341085,0,36,19594330,11221831,2131051,307826,0.0798759287347989,3058984,740928,258248,0.186093811778144,72222,18048,6410,0.246876594989237,357522,4573597,270441,82899,1026411,4269960,1007031,15324370,9090780,2318056,54174,419181,208824,4471,5539271,1271825,29473,428380,466648,8035,408948,4705965,1280304,27681,52362,22205,11616,1012,24761,885,364,27,50192,2326,"New York",81.15486,381.8,0.0327254784399775,0.000628304299782389,0.26090113387108,0.0840025221973631,0.00123725938702022,0.138726814796097,0,FALSE
"OH",2014,8558,3914,625.965077319588,1493,12085,5403,515.02393267292,1398,126,61,569.5,9,39,11560380,9311470,1966628,351743,0.100634882061497,1409964,387329,195841,0.170533333173809,21448,3970,1397,0.196958866722984,53351,520396,48030,12335,74368,2670902,650088,8889478,7344842,1022635,17478,378116,122175,1703,4455881,531122,8600,255471,61314,1807,490149,3794343,547930,8693,51521,22189,23767,3114,21963,1029,66,8,47311,4208,"Ohio",11.85876,284.9,0.0442433212060607,4.3160825843374e-05,0.0980404833076472,0.0806922482616534,0.000282255987638424,0.0425217615245944,0,FALSE
"OK",2014,3582,1075,791.132467532468,0,6222,2316,609.483913328956,0,4709,1752,629.508085664336,0,40,3818851,2588131,518641,93825,0.105510007857696,278684,77325,34239,0.128257145154407,278970,89928,26834,0.15096095859881,53124,245858,24671,7369,67220,941122,236757,2877729,2069490,201359,189042,73741,15199,11966,1229368,113911,109795,45933,50648,30586,131960,1063234,101771,99165,26493,10109,13315,1769,6970,471,2542,478,24799,2851,"Oklahoma",8.748428,406,0.0684716119456233,0.0380720341630134,0.0129687961326205,0.0671910286023407,0.0271855331060717,0.0109394722606239,43,TRUE
"OR",2014,1007,253,1206.71914893617,57,7160,2408,829.343695014663,300,1281,351,1152.62489196197,59,41,3900343,3026860,561456,98481,0.0712436551144669,71059,19228,9220,0.13398646071701,48056,12378,4748,0.166610226887911,65987,420689,36315,12143,104893,859453,195462,3040890,2465404,51831,35678,156369,5931,3791,1395225,27399,18129,10260,63286,5178,150551,1266412,23029,17349,14492,5338,10086,1064,1328,94,346,41,13799,1276,"Oregon",78.4631,232.3,0.00242112003264832,0.00411978481845742,0.120504694218476,0.0107576751657202,0.00452478450713785,0.0432116920431664,3,TRUE
"PA",2014,11256,4897,701.451484947111,0,10131,4675,561.75302966987,0,74,28,519.763888888889,20,42,12758729,10024896,1911710,251149,0.0910185389435878,1401750,374449,153156,0.16235753329069,20903,5128,1561,0.204891345498599,119831,849288,75279,17740,144905,2738413,559732,10020316,8113186,1027301,15775,379838,109893,1507,4920787,509557,8381,238722,140139,2643,419861,4200656,547901,7337,49174,20193,18616,1757,23782,786,39,8,47936,2758,"Pennsylvania",27.45595,314.1,0.0448140016603335,1.46404291746377e-05,0.130520329565677,0.0751562406158477,0.000353285733968777,0.0543795066011439,1,TRUE
"RI",2014,825,370,636.564926372155,202,1319,535,635.631100082713,364,49,17,784.045454545455,12,44,1053252,791586,135185,15783,0.113746355246941,66640,19608,7452,0.222809519814302,4758,878,475,0.183576316572449,19860,145126,10337,3147,40778,217263,45996,835989,656401,47032,3880,35418,4661,339,405245,28322,2009,12486,24779,657,34546,344907,24346,1844,3133,836,1373,110,952,20,23,2,3155,158,"Rhode Island",86.80602,219.2,0.0150367508126797,0.000883588647164159,0.251241902213794,0.0216986403427081,0.00114080834419817,0.103091823430806,0,FALSE
"SC",2014,2820,1430,597.055514157973,676,3234,1701,469.198339188758,814,17,10,266.75,1,45,4727273,3021279,594814,99405,0.112621856511068,1305505,340046,150543,0.214332531949892,15179,3362,947,0.279428873611846,37540,263481,22798,6703,56663,1079449,302329,3647824,2426465,965459,11817,124270,103095,1546,1388566,507024,5756,204272,29850,1337,141181,1252602,525883,5547,20948,6294,6436,825,12979,508,31,7,20032,1369,"South Carolina",0,497.7,0.453026893948058,0.000416644941541889,0.00363686642230522,0.349309313346553,0.000680603636608073,0.00597418747689309,0,FALSE
"SD",2014,169,59,689.363057324841,30,642,265,683.646774193548,100,1283,581,690.960980036298,185,46,834708,697400,152456,16216,0.0753969097362436,13665,5285,1610,0.238702388637831,73307,28612,16792,0.208595449467929,3941,28500,4692,1549,5491,206071,40836,628637,544944,8380,44695,12141,895,6715,380040,5957,19619,2659,4196,15000,32743,275475,3220,22830,3507,2316,1949,223,216,8,897,165,3199,409,"South Dakota",22.85037,326.5,0.00118257006755081,0.0345340575472967,0.0967755995336592,0.00196711685261304,0.0361127422196124,0.0288021139166177,6,TRUE
"TN",2014,3595,1349,554.704731308411,541,8876,3666,485.592743817079,1100,41,14,728.825,8,47,6451365,4839347,998328,199462,0.137342697400218,1080977,296586,130955,0.17222511314001,18243,3783,843,0.247067216233354,54349,348798,37515,13796,72857,1491788,405919,4959577,3841019,784391,14460,197177,79855,1176,2189547,438523,7858,184276,40872,884,228747,1992045,424985,6964,20815,14999,13424,1961,12095,605,31,7,26160,2609,"Tennessee",10.68607,608.4,0.183810548916498,3.86647189943595e-05,0.00523052037341136,0.164726530520697,0.000269151835279077,0.00530453408695847,0,FALSE
"TX",2014,12555,4193,766.222684279191,0,14426,5817,605.26557283898,0,316,115,615.694805194805,0,48,26092033,11565666,2316267,263153,0.0726866564516093,3090816,847952,294549,0.129935744114328,123245,32329,9607,0.24290763833226,1223172,4563536,370591,129944,1558858,6989852,1837819,19102181,9249399,2242864,90916,364030,190616,5746,5717555,1327015,54842,459111,1106946,9348,477720,4715039,1181797,45005,154247,75571,46429,6850,52937,4029,91,26,151717,14326,"Texas",6.972298,405.9,0.144891223174954,0.000216751792953316,0.0631082980873482,0.123538618861782,0.000598952355114051,0.0343719348039318,0,FALSE
