"","mean","mcse","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"b[(Intercept) stname:NY]",0.403823020911744,0.00405905418985406,0.103511909054177,0.195858596165821,0.334280630438199,0.405331214799213,0.47481380199467,0.607309274434009,650,1.00134298853905
"b[(Intercept) stname:OH]",0.219713770375087,0.00229473432598436,0.0628191107179962,0.0939701758311649,0.17730821057719,0.220521465206466,0.262610826079792,0.340458421822619,749,1.00058540229474
"b[(Intercept) stname:OK]",0.145274942916061,0.00253236970649567,0.0653992991546258,0.0135842609228615,0.102764712958742,0.145592601469282,0.188784882778119,0.271327049293187,667,1.00314747771307
"b[(Intercept) stname:OR]",0.205395780053071,0.0029550361696201,0.0701567270991691,0.073398035925029,0.157942541541109,0.20483001935843,0.251656970322965,0.346967702687995,564,1.00554798757589
"b[(Intercept) stname:PA]",0.390715498615247,0.00236458503265456,0.0657517534419158,0.262099420909317,0.346337233400916,0.391975478844214,0.434399856234719,0.519460160949357,773,1.00278506932147
"b[(Intercept) stname:RI]",-0.146127672921047,0.00299805710474546,0.0680343084272809,-0.277179072262077,-0.192116142638971,-0.146354108848018,-0.0994172273932591,-0.0133768589276181,515,1.00861441337822
"b[(Intercept) stname:SC]",-0.0416810192576589,0.00445944898532515,0.104979780510753,-0.248524894018261,-0.109977414941604,-0.0408886291750946,0.0283739578470232,0.157708446038015,554,1.00553504584009
"b[(Intercept) stname:SD]",0.724892394565173,0.0031169904508981,0.0746363726039727,0.580077126760632,0.67479171067069,0.724022889064283,0.776643800259214,0.8689924570538,573,1.00820701339896
"b[(Intercept) stname:TN]",-0.45227433728262,0.00270967859073244,0.0734009630249276,-0.592548415683256,-0.500980437934176,-0.452459513250517,-0.402721901130277,-0.307526932060738,734,1.0032502810396
"b[(Intercept) stname:TX]",-0.00709242748137234,0.00298935649011636,0.0811057226462522,-0.166772714876779,-0.0626198230241469,-0.00711204583403579,0.0467964289141859,0.152729310761178,736,1.00286928160155
"b[(Intercept) stname:UT]",0.243459475985077,0.00308581517356035,0.073671488418169,0.101178166192392,0.192715344132208,0.242784058896071,0.292619516933964,0.389518307428103,570,1.00510446066536
"b[(Intercept) stname:VA]",-0.0563973873107007,0.00302991675420089,0.0728819065548268,-0.199509940449658,-0.104839822396947,-0.0542905684006226,-0.00619818898681236,0.0819143399476751,579,1.00443366878129
"b[(Intercept) stname:VT]",-0.882587239999895,0.00380115290932415,0.0849274122028659,-1.04762733299256,-0.939887263463113,-0.883709791520181,-0.824803806821034,-0.718428337990934,499,1.00986684812498
"b[(Intercept) stname:WA]",-0.0406079329398188,0.00281998087734866,0.067743785038411,-0.167554173416277,-0.08763785673067,-0.0429296764580367,0.00387961757267242,0.0980469985210335,577,1.00390967751918
"b[(Intercept) stname:WI]",0.258312600376801,0.00290346747569212,0.0723836657515226,0.11977363195014,0.209088023835847,0.256066677924772,0.308023792453556,0.399897698913745,622,1.00563212092297
"b[(Intercept) stname:WV]",-0.0814160594897332,0.00284821902700395,0.0718923096005955,-0.219946008397847,-0.129844754245134,-0.0827634795684212,-0.0351955209807629,0.0580100103170364,637,1.00597948324526
"b[(Intercept) stname:WY]",0.141530622880034,0.00314790316320451,0.0732567829458249,-0.00489024800390401,0.0937039373317934,0.142567864531785,0.189915935213774,0.286115569587458,542,1.00525121500701
"sigma",0.157367474024664,9.10131212707591e-05,0.00418595245542626,0.149442778164154,0.154454857148402,0.157304983688657,0.160122457285453,0.165928459516723,2115,1.00019606047465
"Sigma[(Intercept),(Intercept)]",0.0994006993889799,0.000925439564180964,0.0222116361409071,0.065220070095714,0.0841157967141853,0.0957538462529234,0.111680624392306,0.152613075130153,576,1.00677710504063
"mean_PPD",1.37402068001872,0.000128872411494018,0.00810578290974356,1.35844698501693,1.3685138279443,1.37399124090898,1.37937588393858,1.39013629608371,3956,1.00070203977374
"log-posterior",229.776690760048,0.328458113994027,7.90743141201891,213.499334916589,224.526251230337,230.084729755292,235.249216471451,244.337876107292,580,1.00354571945111
